"die Abteilung, -en (in der Abteilung)","oddelenie (na oddeleni)"
"alles","vsetko"
"arbeiten","pracovat"
"der Arzt, PI. Arzte","lekar"
"auf Wiedersehen","dovidenia"
"auch","tiez"
"der Ausweis, -e","preukaz (identifikacny)"
"die Arztin, Pl. Ärztinnen","lekárka"
"der Bahnhof, Pl. Bahnhöfe (am Bahnhof)","stanica (na stanici)"
"die Bäckerei, -en (in der Bäckerei)","pekáren (v pekárni)"
"der Beruf, -e","povolanie"
"das Bild, -er","obrázok"
"bitte","prosím"
"bitte schön","nech sa páci"
"brauchen","potrebovat"
"danke","dakujem"
"Das ist alles.","To je vsetko"
"Das sind dann 18,30 €.","Spolu je to 18,30 €."
"Deutschland","Nemecko"
"das Doppelzimmer","dvojlözková izba"
"Ein Ticket nach Wien.","Listok do Viedne."
"Entschuldigung","prepácte"
"der Familienname","priezvisko"
"das Formular, -e","formulár"
"Gern geschehen.","Rado sa stalo."
"gleich","hned"
"Grüß Gott.","Dobry den."
"gut","dobre"
"Guten Morgen","dobré ráno"
"Guten Tag","dobry deñ"
"haben","mat"
"Haben Sie eine Vorteilscard?","Máte kartu vyhod?"
"Hallo","dobry den/ahoj"
"heißen","volat sa"
"der Herr","pán"
"Herzlich willkommen in Graz.","Srdecne Vás vítam v Grazi."
"hier","tu"
"Hin und zurück?","Spiatocny?"
"ich","ja"
"Ich hätte gern.","Chcel(a) by som.. (vobchode)"
"in (in Graz)","v (v Grazi)"
"der Ingenieur, -e","inzinier"
"ist","je (3. osoba slovesa byt)"
"ja","ano"
"jetzt","teraz"
"Keine Ursache.","Niet zac."
"der Kellner,","casnik"
"das Kind, -er","dieta"
"kommen aus","pochádzat z (napr. mesta/státu)"
"der Lehrer,","ucitel"
"links","vlavo"
"der Mann, Pl. Männer","muz"
"müde","unaveny"
"nach Hause","domov"
"der Name, -n","meno"
"nein","nie"
"Nur hin.","Len jednosmerny."
"OK","v poriadku"
"Österreich","Rakúsko"
"der Prozesstechniker","procesny technik"
"der Schlüssel, -","klúc"
"sagen","povedat"
"sein","byt"
"die Semmel, -n","Zemla"
"die Slowakei (in der Slowakei; aus der Slowakei)","Slovensko (na Slovensku; zo Slovenska)"
"So","tak"
"der Software-Entwickler, -","softvérovy vyvojár"
"das Ticket, -s","cestovny lístok"
"der Ticketverkäufer","predavac listkov"
"Und sonst noch was?","A este nieco?"
"die Verkäuferin, -nen","predavacka"
"das Vollkornbrot, -e","celozrnny chlieb"
"der Vorname, -n","krstné meno"
"wann","kedy"
"warum","preco"
"was","co"
"Was darf's denn sein?","Co to bude? (v obchode)"
"Was kann ich für Sie tun?","Co mozem pre Vás urobit?"
"Was sind Sie von Beruf?","Aké je Vase zamestnanie?"
"welche","aké"
"wer","kto"
"wie","aky/aká/aké"
"Wie geht es Ihnen?","Ako sa máte?"
"Wie ist Ihr Familienname?","Aké je Vase priezvisko?"
"Wie ist Ihr Vorname?","Aké je Vase meno?"
"wie lange","ako dlho"
"Wie sagt man das auf Deutsch?","Ako sa to povie po nemecky?"
"wo","kde"
"woher","odkial"
"Woher kommen Sie?","Odkial pochadzate?"
"wohin","kam"
"wohnen","byvat"
"das Wohnheim, -e (im Wohnheim)","ubytovna (v ubytovni)"
"zehn","desat"
"die Zimmernummer, -n","cislo izby"
"zu Hause","doma"
"zurück","(na)spät"
