"der Abend, am Abend","vecer"
"das Abendessen,","vecera"
"alle","vsetci"
"also","teda"
"anziehen","obliect"
"arbeiten","pracovat"
"der Arbeitstag, -e","pracovny den"
"aufräumen","upratovat"
"aufstehen","vstávat (napr. ráno z postele)"
"ausgehen","ist sa zabavit"
"Wollen wir ausgehen?","Ideme von? (vo vyzname: zabavit sa)"
"Am Freitag gehe ich aus.","V piatok idem von. (vo vyzname: zabavitt sa)"
"backen","piect"
"beginnen","zacat"
"das Bein, -e","noha"
"das Bett, -en (ins Bett gehen)","postel (ist do postele)"
"bleiben","zostat"
"der Boden, Pl. Böden","zem, podlaha"
"brauchen","potrebovat"
"bringen","priniest"
"das Brot, -e","chlieb"
"bügeln","zehlit"
"das Buch, Pl. Bücher","kniha"
"der Bus, Pl. Busse","autobus"
"die Butter, -","maslo"
"das Croissant, -s","croissant"
"danach","potom"
"dann","neskôr, potom"
"Das ist mir egal.","To je mi jedno."
"decken (den Tisch decken)","prestriet (prestriet stôl)"
"das Dokument,-e","dokument"
"dort","tam"
"duschen","sprchovat sa"
"einkaufen","nakupovat"
"essen","jest"
"fahren","ist (autom, autobuson)"
"fallen","padnút"
"fast immer","skoro vidy"
"fast nie","skoro nikdy"
"der Feierabend","fajront"
"die Ferien (in den Ferien)","prázdniny (cez prázdniny)"
"fernsehen","dívat sa na TV"
"frei","volny"
"die Freundin, -nen","kamarátka"
"das Frühstück, -","ranajky"
"fühlen","cítit"
"geben","dat"
"der Geburtstag, -e (am Geburtstag)","narodeniny (na narodeniny)"
"gemeinsam","spolocne"
"die Gurke, -n","uhorka"
"gut","dobre"
"helfen","pomôct"
"heute","dnes"
"immer","vzdy"
"der Kaffee","káva"
"Karten spielen","hrat karty"
"der Käse, Pl. Käsesorten","syr"
"kennenlernen","spoznat (niekoho, nieco)"
"klein","maly/á/é"
"kochen","varit"
"das Konzert, -e (ins Konzert gehen)","koncert (ist na koncert)"
"krank","chory"
"die Küche, -n","kuchyña"
"der Laptop, -s","laptop"
"laufen","bezat"
"lesen","cítat"
"manchmal","niekedy"
"mein","môj"
"meistens","väcsinou"
"die Milch, O","mlieko"
"der Mittag, zu Mittag","obed, na obed"
"das Mittagessen, nach dem Mittagessen","obed, po obede"
"der Morgen, am Morgen","rano, rano"
"der Nachmittag, am Nachmittag","popoludnie, popoludni"
"die Nacht, PI. Nächte","noc"
"nehmen","vziat"
"nie","nikdy"
"normalerweise","zvycajne"
"das Obst, PI. Obstsorten","ovocie"
"oft","casto"
"der Orangensaft","pomarancovy dzus"
"öfter","castejie"
"die Pause, -n","prestavka"
"putzen (Zähne putzen)","cistit (cistit zuby)"
"rasieren","holit"
"reden über etw.","rozprávat o niecom"
"regelmäßig","pravidelne"
"sehen","vidiet"
"sehr","velmi"
"sehr oft","velmi casto"
"selten","zriedka"
"schaffen","zvládnut nieco"
"der Schinken","sunka"
"schlafen","spat"
"schwer","tazky"
"sieben","sedem"
"sitzen","sediet"
"Soll ich mitkommen?","Mam ist aj ja?"
"spazieren","prechádzat sa"
"der Spaziergang, Pl. Spaziergänge","prechádzka"
"später","neskôr"
"sprechen","hovorit"
"die Stunde, -n","hodina"
"der Supermarkt, Pl. Supermärkte","supermarket"
"täglich","denne"
"der Tee, Pl. Teesorten","caj"
"das Theater (ins Theater gehen)","divadlo (íst do divadla)"
"der Tisch, -e","stôl"
"die Tomate, -n","paradajka"
"die Torte, -n","torta"
"treffen","stretnút"
"um","o (tyka sa casovych údajov)"
"umziehen","prezliect"
"unregelmäßig","nepravidelne"
"unter der Woche","cez tyzden"
"die Unterlagen","podklady"
"verschlafen, Milan verschläft oft.","zaspat, Milan casto zaspí."
"vorbereiten","pripravit (napr. ranajky, postel...)"
"der Vormittag, am Vormittag","doobedie, doobeda"
"vorstellen","predstavit (niekoho)"
"Ich stelle dir Milan vor.","Predstavím ti Milana."
"waschen","umyvat"
"das Waschpulver,","prások na pranie"
"wecken","zobudit"
"weit","daleko"
"die Wohnung, -en","byt"
"Wie fühlen Sie sich?","Ako sa cítite?"
"Wie haben Sie geschlafen?","Ako ste sa vyspali?"
"zu Hause","doma"
"zu Mittag essen","obedovat"
"zuerst","najprv"
"zurückkommen","vrátit sa spät"
"blau","modrá"
"rot","cervená"
"gelb","zltá"
"grün","zelená"
"schwarz","cierna"
"weiß","biela"
"grau","sedá"
"orange","oranzová"
"braun","hnedá"
"violett/lila","fialová"
"dunkelblau","tmavomodrá"
"hellblau","svetlomodrá"
"die Hose, -n","nohavice"
"die Jeans,","rifle"
"der Rock, PI. Röcke","sukna"
"das Kleid, -er","saty"
"die Bluse, -n","blúzka"
"das Hemd, -en","kosela"
"die Krawatte, -n","kravata"
"das T-Shirt, -S","tricko"
"der Pullover,","pulóver"
"die Unterwäsche, -","spodná bielizen"
"der BH (Büstenhalter),-s","podprsenka"
"die Unterhose, -n","spodky,"
"spodná bielizen","der Slip, -s"
"nohavicky","die Jacke, -n"
"bunda","der Mantel, PI. Mäntel"
"kabat","der Anzug, Pl. Anzige"
"oblek","der Sakko, -s"
"sako","das Kostüm, Pl. Kostüm"
"kostym","der Schuh, -e"
"topánka","der Stiefel,"
"cizma","die Socke, -n"
"ponozka","die Strumpfhose, -n"
"pancuchové","nohavicky"
"der Badeanzug, Pl. Badeanzüge","plavky (pre Zeny)"
"die Badehose, -n","plavky (pre muzov)"
"der Pyjama, -S","Pyzama"
"das Nachthemd, -en","nocná kosela"
"der Handschuh, -e","rukavica"
"die Mütze, -n","ciapka"
"der Schal, -s","sál"
"das Tuch, Pl. Tücher","Satka"
"Das ist","To je"
"mein Sohn","môj syn"
"meine Tochter","moja dcéra"
"mein Mann","môj muz"
"meine Mutter","moja mama"
"mein Vater","môj otec"
"meine Freundin","moja priatelka"
"mein Freund","moj priatel"
"Ich bin ledig.","Som slobodny/a."
"Ich bin Single.","Som single."
"Ich bin geschieden.","Som rozvedeny."
