"die Abteilung, -en","oddelenie"
"allein","sám/sama"
"alles","vsetko"
"also","takze"
"alt","stary"
"angeblich","údajne"
"anschließend","nakoniec"
"der Apfel, Pl. Äpfel","jablko"
"der Apfelsaft, Pl. Apfelsäfte","jablkovy dzus"
"aufgeschnitten","nakrájany"
"auskennen - sich auskennen (Ich kenne mich in der Stadt schon aus.)","vyznat sa (V meste sa uz vyznám.)"
"der Ausweis, -e","preukaz"
"die Backware, -n","pecivo"
"die Banane, -n","banán"
"das Basilikum","bazalka"
"der Becher, -","pohár"
"bequem","pohodlny"
"bekommen","dostat"
"bezahlen","zaplatit"
"billig","lacny"
"Bis später.","Uvidíme sa neskôr."
"bleiben","zostat"
"das Brot, -e","chlieb"
"der Bund, Pl. Bünde","zväzok"
"doch","predsa"
"die Dose, -n","nádoba"
"die Drogerieabteilung,-en","drogéria"
"das Duschgel, -S","sprchovaci gél"
"der Ei-Aufstrich, -e","vajícková pomazánka"
"der Einkauf, Pl. Einkäufe","nakup"
"einkaufen","nakupovat"
"die Einkaufsliste, -n","nákupny zoznam"
"der Einkaufswagen,","nákupny vozík"
"der Emmentaler, ©","ementál"
"der Ententeich, -e","jazierko s kackami"
"entscheiden sich (Milan kann sich nicht entscheiden.)","rozhodnut sa (Milan sa nevie rozhodnút.)"
"essen (ich esse, du isst, er/sie/es isst, wir essen, ihr esst, sie/Sie essen)","jest"
"die Extrawurst","saláma podobna liptovskej saláme"
"die Feinkostabteilung,-en","lahödky"
"das Fahrrad, Pl. Fahrräder","bicykel"
"finden","nájst"
"die Flasche, -n","flaska"
"das Fleisch, Pl. Fleischsorten","mäso"
"frei","volno"
"frisch","cerstvy"
"das Früchtejoghurt,-s","ovocny jogurt"
"das Gemüse, PI. Gemüsesorten","zelenina"
"das Geschäft, Pl. Geschäfte","obchod"
"geschlossen","zatvoreny"
"die Getränke-Abteilung, -en","oddelenie s nápojmi"
"grüner Salat","zeleny Salát (hlávkovy)"
"günstig","vyhodny"
"dobry","gut"
"der Hausschlüssel, -","kluc od domu"
"hässlich","skaredy"
"dnes","heute"
"Ich kenn mich in der Stadt schon aus.","V meste sa uz vyznám."
"im Sonderangebot","v akcii"
"in der Mitte","v strede"
"In Ordnung.","V poriadku."
"interessant","zaujimavy"
"jeden Monat","kazdy mesiac"
"das Joghurt, -s","jogurt"
"jung","mlady"
"die Kartoffel, -n","zemiak"
"der Käse, PI. Käsesorten","Syr"
"das Klopapier, -","toaletny papier"
"kochen","varit"
"der Koffer, -","kufor"
"der Kuchen, -","kolác"
"das Kühlregal,-e","chladiaci regál"
"der Laib, -e","pecen (chleba)"
"langweilig","nudny"
"der Laptop","laptop"
"das Leitungswasser","voda z vodovodu"
"lieber","radsej"
"das Lieblingsjoghurt, -s","oblubeny jogurt"
"links","vlavo"
"lustig","smiesny"
"die Milch, -","mlieko"
"der Milchkaffee, -s","káva s mliekom"
"das Milchprodukt,-e","mliecne vyrobky"
"das Mineralwasser","minerálka"
"modern","moderny"
"der Nachmittag (am Nachmittag)","poobedie (poobede)"
"natürlich","prirodzene"
"oben","hore"
"das Obst, Pl. Obstsorten","ovocie"
"das Olivenöl, -e","olivovy olej"
"der Orangensaft, Pl. Orangensäfte","pomarancovy dzús"
"die Packung, -en","balenie"
"praktisch","prakticky"
"das Putzmittel, -","cistiaci prostriedok"
"das Regal, -e","polica"
"die Rechnung,-en","faktúra"
"rechts","vpravo"
"der Rotwein, -e","cervené vino"
"der Rucksack, Pl. Rucksäcke","ruksak"
