"aber","ale"
"der Abteilungsleiter, -","vedúci oddelenia"
"die Adresse, -n","adresa"
"Ach so.","Ach tak."
"alt","stary"
"arbeiten","pracovat"
"der Arbeitsplatz, Pl. Arbeitsplätze","pracovisko"
"die Assistentin, -nen","asistentka"
"ausfüllen (ein Formular ausfüllen)","vyplnit (vyplnit formulár)"
"das Auto, -S","auto"
"der Bahnhof, Pl. Bahnhöfe (am Bahnhof)","stanica (na stanici)"
"beginnen","zacat"
"der Beruf, -e","povolanie"
"das Bett, -en (ins Bett, im Bett)","postel (do postele, v posteli)"
"das Bild, P1. Bilder","obraz"
"bis jetzt","doteraz"
"die Blume, -n","kvet"
"die Brille, -n","okuliare"
"das Buch, Pl. Bücher","kniha"
"bunt","pestry"
"die Chipkarte, -n","cipová karta"
"die Couch, -s","sedacka"
"dann","neskôr"
"Das freut mich.","To ma tesi."
"Das ist...","To je..."
"Deutschland","Nemecko"
"die Disco, -s","diskotéka"
"drei","tri"
"dunkel","tmavy"
"duzen","tykat si"
"der DVD-Player,","DVD-prehrávac"
"eckig","hranaty"
"erst","len"
"Es freut mich.","Tesi ma (pri zoznamovani)."
"die Familie, -n","rodina"
"das Fenster,","okno"
"der Fernseher,","televizor"
"die Firma, Pl. Firmen (in einer großen Firma)","firma (vo velkej firme)"
"die Flasche, -n","flasa"
"die Frau, -en","pani"
"früher","predtym"
"ganz gut","celkom dobre"
"die Gardine, -n","záclona"
"der Garten, Pl. Gärten","záhrada"
"gefallen (Wie gefällt Ihnen Graz?)","pácit sa (Ako sa Vám páci Graz?)"
"das Geburtsdatum, Pl. Geburtsdaten","dátum narodenia"
"der Geburtsort, -e","miesto narodenia"
"gesund","zdravy"
"das Glas, Pl. Gläser","pohár"
"Griechenland","Grécko"
"groß","velky"
"das Haus, Pl. Häuser","dom"
"helfen","pomôct"
"hell","svetly"
"der Herr, -en","pán"
"Herzlich willkommen.","Srdecne Vás vitam."
"hier","tu"
"hoch","vysoky"
"der Hund, -e","pes"
"hübsch","pekná"
"der Ingenieur, -e","inzinier"
"das Kind, -er","dieta"
"das Kissen, -n","vankús"
"klein","maly"
"der Kollege, -n","kolega"
"krank","chory"
"die Küche, -n (in der Küche)","kuchyña (v kuchyni)"
"die Lampe, -n","lampa"
"lang","dlhy"
"Lassen Sie sich Zeit.","Neponáhlajte sa."
"leben","zit"
"der Lehrer, -","ucitel"
"die Lehrerin, -nen","ucitelka"
"machen","robit"
"der Mann, PI. Männer","muz"
"mein","môj"
"der Meldezettel,","prihlasovaci lístok"
"Muss ich noch etwas machen?","Musím este nieco urobit?"
"müde","unaveny"
"die Nähe, -n (in der Nähe)","blízkost (v blizkosti)"
"der Name, -n","meno"
"nennen (Nennen Sie mich Milan.)","volat (Volajte ma Milan.)"
"nett","mily"
"neu","novy"
"niedrig","nizky"
"null","nula"
"Österreich","Rakúsko"
"Passt dort alles?","tu: Je tam vetko poriadku?"
"die Personalabteilung,-en","personálne oddelenie"
"Polen","Polsko"
"das Radio, -s","rádio"
"das Regal, -e","polica/regál"
"die Reise, -n","cesta"
"richtig","správne"
"ruhig","pokojny"
"rund","okrúhly"
"sauber","cisty"
"sehr (sehr klein, sehr viel...)","velmi (velmi maly, velmi vela...)"
"das Sekretariat, -e","sekretariát"
"die Sekretärin, -nen","sekretarka"
"Setzen Sie sich bitte.","Posadte sa, prosím."
"das Schlafzimmer,-","spálña"
"schmutzig","Spinavy"
"schön","pekny"
"siezen","vykat si"
"die Slowakei (in der Slowakei)","Slovensko (na Slovensku)"
"der Software-Entwickler, -","softvérovy vyvojar"
"die Stadt, Pl. Städte","mesto"
"der Stadtteil, -e","mestská cast"
"studieren","Studovat"
"der Stuhl, PI. Stühle","stolicka"
"suchen (Wen suchen Sie?)","hladat (Koho hiadáte?)"
"der Tag, -e (der erste Tag)","den (prvy den)"
"die Tasse, -n","sálka"
"tausend","tisic"
"die Telefonnummer, -n (Wie ist Ihre Telefonnummer?)","telefónne cislo (Aké je Vase telefónne dislo?)"
"der Teppich, -e","koberec"
"der Tisch, -e","stôl"
"die Tochter, PI. Töchter","dcéra"
"Tschechien","Cesko"
"die Türkei (in der Türkei)","Turecko (v Turecku)"
"die Vase, -n","váza"
"das Viertel,","stvrt"
"die Vorwahl, -en","predvolba"
"warten (auf jemanden)","cakat (na niekoho)"
"weit","daleko"
"wichtig","dôlezity"
"Wie alt bist du?","Kolko más rokov?"
"Wie geht es Ihnen?","Ako sa mâte?"
"Wie ist die Adresse von...?","Akú adresu má...?"
"Wie ist Ire Telefonnummer?","Aké je Vase telefónne cislo?"
"Wie war die Reise?","Aká bola cesta?"
"Wir können uns gerne duzen.","Môzeme si tykat."
"wissen","vediet"
"das Wohnheim, -e","ubytovna"
"wohnen","byvat"
"wollen","chciet"
"zeigen","ukázat"
"die Zeitschrift, -en","casopis"
"die Zeitung, -en","noviny"
"das Zimmer, - (im Zimmer, ins Zimmer)","izba (v izbe, do izby)"
"zu Hause","doma"
"der Zug, Pl. Züge (mit dem Zug)","vlak (vlakom)"
