"alkoholfreie Getränke","nealkoholické nápoje"
"alkoholische Getränke","alkoholické nápoje"
"alle zwei Wochen","kazdé dva tyzdne"
"am besten","najlepsie"
"die Angst, Pl. Ängste","strach"
"der Apfelsaft, Pl. Apfelsäfte","jabikovy d¿us"
"der Arbeitsvertrag, PI. Arbeitsverträge","pracovná zmluva"
"der Arzt, PI. Ärzte, zum Arzt gehen","lekar, ist k lekárovi"
"aufräumen","upratovat"
"aufschreiben","napísat"
"aufstehen","vstat"
"ausfüllen","vyplnit (napr. formulár)"
"ausgezeichnet","vyborne"
"das Baguette, -S","bageta"
"bald","coskoro"
"die Bank, -en (zur Bank gehen)","banka (ist do banky)"
"die Beillage, -n","priloha"
"die Bankomatkarte,-n","debetná karta"
"beide","obidvaja"
"bekommen","dostat"
"besonders","mimoriadny"
"das Bett, -en (im Bett bleiben)","zostat v posteli"
"das Bier, -e","pivo"
"bleiben","zostat"
"die Bratkartoffeln","opekané zemiaky"
"die Bratwurst, Pl. Bratwürste","pecená klobása"
"das Brot, -e","chlieb"
"die Coca-Cola","Coca cola"
"das Croissant, -s","croissant"
"dabei","so sebou"
"Das ist nett von dir.","To je od teba milé."
"Das weiß ich nicht.","To neviem."
"dass","aby"
"dauern","trvat"
"das Ding, -e","vec"
"dir","tebe"
"dürfen","smiet"
"duschen","sprchovat sa"
"der Ehemann, Pl. Ehemänner","manzel"
"ein bisschen","trocha"
"einladen","pozvat"
"einzahlen (auf das Konto einzahlen)","vlozit na úcet"
"das Eis","zmrzlina"
"eröffnen","otvorit (úcet)"
"essen","jest"
"das Essen, -","jedlo"
"etwas","nieco"
"feiern","oslavovat"
"fernsehen","dívat' sa na TV"
"das Fleisch, Pl. Fleischsorten","mäso"
"das Formular, -e","formulár"
"frei","volno"
"frühstücken","ranajkovat"
"das Gebäck, -","pecivo"
"der Geburtstag, -e","narodeniny"
"das Gehalt, Pl. Gehälter","plat"
"das Gehaltskonto, Pl. Gehaltskonten","bezny úcet"
"das Geld, -er (Es geht ums Geld.)","peniaze (Ide o peniaze.)"
"das Getränk, -e","nápoj"
"das Glück, -","stastie"
"der Gulasch, -e","gulás"
"die Gulaschsuppe,-n","gulásová polievka"
"Guten Appetit","Dobrú chut"
"das Hähnchenschnitzel, -","kurací rezen"
"der Hauptplatz","hlavné námestie"
"helfen","pomôct"
"hingehen","ist niekam"
"heute","dnes"
"höflich","zdvorily"
"Ich komme gerne mit.","Rada s tebou pôjdem."
"Ihnen","Vam"
"immer","vzdy"
"der Kaffe, -s","kava"
"das Kaffeehaus, Pl. Kaffeehäuser","kaviaren"
"die Kartoffel, -n","zemiak"
"der Knödel,","knedla"
"kochen","varit"
"die Köchin, -nen","kuchárka"
"können","môct"
"das Konto, Pl. Konten","úcet"
"der Kühlschrank, Pl. Kühlschränke","chladnicka"
"die Küche, -n","kuchyna"
"der Kuchen,","kolác"
"laufen","bezat"
"laut","hlasny"
"lesen","cítat"
"lieben","mat rad"
"liegen","lezat"
"der Likör, -e","likér"
"meistens","väcsinou"
"mindestens","minimálne"
"das Mineralwasser","minerálka"
"mir","mne"
"mitnehmen","vziat so sebou"
"mögen","mat rad"
"möchten (Rozdiel medzi slovesom möchten a wollen je v modalite. Slovesom möchten vyjadrime zdvorilost - ich möchte - chcel by som.)","chciet"
"müssen","musiet"
"nachher","potom"
"der Nachmittag, -e","popoludnie"
"die Nachspeise, -n","dezert"
"der Namenstag, -e","meniny"
"die Nudeln (P1.)","cestoviny"
"der Obstsalat, -e","ovocny Salát"
"der Orangensaft, Pl. Orangensäfte","pomarancovy d¿ús"
"die Ordnung (in Ordnung)","poriadok (v poriadku)"
"die Pause, -n","prestávka"
"der Personalausweis, -e","identifikacny preukaz"
"die Pommes frites","hranolky"
"programmieren","programovat"
"der Pudding, -s","puding"
"putzen","upratovat"
"die Quarkcreme,-s","tvarohov krém"
"rauchen","fajcit"
"regnen","prsat"
"der Reis, -","ryza"
"das Rezept, -e","recept"
"der Rotwein, -e","cervené vino"
"der Salat, -e","Salát"
"das Sauerkraut","kyslá kapusta"
"sehr gut","velmi dobre"
"sei","bud (rozkazovaci spôsob od slovesa byt)"
"seltsam","zvlástny"
"die Semmel, -n","zemla"
"der Senf","horcica"
"schmecken (Es schmeckt mir; Es schmeckt mir nicht.)","chutit (Chuti mi to; Nechuti mi to.)"
"schmutzig","spinavy"
"der Schnaps, Pl. Schnäpse","pálenka"
"schreiben","písat"
"der Schweinebraten,","bravcová pecienka"
"das Schweinefleisch","bravcové mäso"
"das Schweineschnitzel,","bravcovy rezen"
"sitzen","sediet"
"sollen","mat povinnost, mal by som..."
"sondern (pouziva sa v spojení nicht ... sondern)","ale (nie ... ale)"
"später","neskôr"
"die Spätzle","halusky"
"still","ticho"
"die Suppe, -n","polievka"
"der Tee, Pl. Teesorten","caj"
"der Teller,","tanier"
"der Tisch, -e","stôl"
"die Torte, -n","torta"
"typisch","typicky"
"um","o (v spojení s casovym udajom)"
"unhöflich","nezdvorily"
"unterhalten sich (Ich unterhaltemich mit Sophie.)","bavit sa/rozprávat' sa (Rozprávam sa so Sophie.)"
"die Unterlagen (PL.)","podklady"
"unterschreiben","podpísat"
"verheiratet","vydatá, zenaty"
"vielleicht","mozno"
"das Vollkornbrot,-e","chlieb celozrnny"
"von wann bis wann","odkedy dokedy "
"der Vormittag, -e","dopoludnie"
"vorschlagen","navrhnút"
"warten","cakat"
"das Wasser","voda"
"der Weißwein, -e","biele vino"
"Wie spät ist es?","Kolko je hodin?"
"wirklich","skutocne"
"wisen","vediet"
"wollen","chciet"
"Wollen wir essen gehen?","Ideme sa najest?"
"wunderbar","vyborne"
"das Würstchen, -","párok"
"zubereiten (Ich bereite das Essen zu.)","pripravit (jedlo)"
"zum Glück","nastastie"
"zurückkommen","vrátit sa spät"
"die Zwiebel, -n","cibula"
