"abbiegen + akuzatív","ohnút"
"die Achselhöhle,-n","podpazusie"
"also","takze"
"alt","stary"
"das Alter, O (für ihr Alter)","vek (na jej vek)"
"die Ampel, -n","semafor"
"antworten + dativ","odpovedat"
"die Apotheke, -n","lekáren"
"der Appetit, O","chut do jedla"
"der Arm, -e","rameno"
"aufstehen (ich stehe auf, du stehst auf, er steht auf)","vstávat (napr. ráno z postele)"
"das Auge, -n","oko"
"die Augenbraue, -n","obocie"
"aussehen (ich sehe aus, du siehst aus, er/sie/es sieht aus)","vyzerat"
"die Autopapiere, Pl.","papiere od auta"
"die Bäckerei, -en","pekáren"
"das Badezimmer, -","kúpelña"
"der Bahnhof, Pl. Bahnhöfe","stanica (zelezniéná)"
"die Bank, -en","banka"
"der Bauch, Pl. Bäuche","brucho"
"die Bauchschmerzen (Pl.)","bolesti brucha"
"beginnen mit + datív","zacat s niecím"
"begrüßen + akuzatív","pozdravit"
"das Bein, -e","noha"
"bemühen sich (ich bemühe mich, du bemühst dich)","snazit sa"
"bequem","pohodlny"
"die Beschwerden, Pl.","obtiaze"
"die Besprechung,-en","porada"
"betrachten (das Gesicht betrachten)","pozorovat (pozorovat tvár)"
"die Bewegung, -en","pohyb"
"die Bezeichnung, -en","oznacenie"
"billig","lacny"
"der Blinddarm, Pl. Blinddärme","slepé crevo"
"der Blutdruck, O","krvny tlak"
"brauchen + akuzatív","potrebovat"
"die Brille, -n","okuliare"
"bringen","priniest"
"die Brücke, -n","most"
"die Brust, Pl. Brüste","hrud"
"die Brustwarze, -n","bradavka"
"bücken sich","zohnút' sa"
"die Buchhandlung,-en","knihkupectvo"
"der Busbahnhof, -höfe","stanica (autobusová)"
"der Busen, -","prsia"
"danken + datív (Ich danke dir/ihm.)","dakovat (Dakujem ti/jemu.)"
"Das tut dir gut.","To ti urobi dobre."
"Das wird alles wieder besser.","To za opät zlepsi."
"dein","tvoj"
"denn","teda"
"der Dickdarm, -därme","hrubé crevo"
"doch","predsa"
"das Dorf, Pl. Dörfer","dedina"
"dunkel","tmavy"
"der Dünndarm, -därme","tenké crevo"
"eigentlich","vlastne"
"die Einbahnstraße, -n","jednosmerná ulica"
"das Eis, O","zmrzlina"
"der Ellbogen, -","laket"
"erklären","vysvetlit"
"erschöpft","vycerpany"
"erst","az"
"erst seit Kurzem","len kratko"
"Es geht mir gut.","Mám sa dobre./ Cítim sa dobre."
"essen + akuzativ","jest"
"die Falte, -n","vráska"
"faltig","vráskavy"
"fehlen + datív (Meine Familie fehlt mir.)","chybat (Chyba mi moja rodina.)"
"die Ferse, -n","päta"
"das Fieber, O","horúcka"
"finden + akuzatív","nájst/povazovat"
"fleißig","usilovny"
"fragen + akuzatív","pytat sa"
"Milan geht es noch nicht besser.","Milan sa este nemá lepsie."
"freundlich","priatelsky"
"früh","skoro"
"früher","predtym"
"fühlen sich","cítit sa"
"furchtbar","hrozne"
"der Fuß, Pl. Füße","chodidlo"
"die Gasse, -n","ulicka"
"geben","dat"
"gefallen + datív (Es gefällt mir.)","pácit sa (Páci sa mi to.)"
"geheilt","vylieceny"
"gehören + datív (Es gehört uns.)","patrit (Patrí to nám.)"
"das Gelenk, -e","klb"
"gerade","práve"
"gern","rad"
"das Gesäß","zadok"
"das Geschäft, -e","obchod"
"das Geschenk, -e","darcek"
"die Geschlechtsteile","genitálie"
"das Gesicht, -er","tvár"
"gestern","vcera"
"gleich","hned"
"gratulieren + datív (Frau Fischer gratuliertihm/ihr.)","gratulovat (Pani Fischer mu/jej gratuluje.)"
"grau","sedivy"
"groß","velky"
"gut","dobry"
"das Haar, -e","vlas"
"haben + akuzatív","mat"
"der Hals, P1. Hälse","krk"
"die Haltestelle, -n","zastávka"
"die Hand, Pl. Hände","ruka"
"das Handgelenk, -e","zápästie"
"heben + akuzatív (das Bein heben)","zdvihnut (zdvihnút nohu)"
