"abbiegen","pokrcit (napr. kolená)",
"alle","vsetky",
"als","ako",
"die Angst, Pl. Ängste","strach",
"anstrengend","namáhavy",
"das Anziehen, O","obliekanie",
"anziehen (sich), (ich ziehe mich an, du ziehst dich an)","obliect sa",
"der Apfelstrudel,","jablková strúdla",
"die Apotheke, -n","lekáren",
"arm","úbohy",
"der Arm, -e","rameno",
"atmen","dychat",
"aufregend","vzrusujúci",
"aufstehen (ich stehe auf, du stehst auf)","vstat (napr. z postele)",
"ausziehen (sich), (ich ziehe mich aus, du ziehst dich aus)","vyzliect sa",
"backen","piect",
"der Bademeister, O","plavcik",
"das Badezimmer,-","kúpelna",
"die Bar, -S","bar",
"bauen","stavat",
"der Bauch, Pl. Bäuche","brucho",
"bedienen","obsluhovat",
"beginnen","zacat",
"bekommen","dostat",
"besonders","obzvlást",
"der Besuch, -e","návsteva",
"besuchen","navstívit",
"die Beschwerde, -n","problémy (zdravotné)",
"das Bett, -en","postel",
"bevor","skôr nez",
"bewegen (sich), (ich bewege mich, du bewegst dich)","hybat sa/pohybovat sa",
"bitten","prosit",
"bleiben","zostat",
"der Braune, -n","káva s mliekom (v Rakúsku)",
"brechen (sich), (ich breche mir...; du brichst dir.., )","zlomit si",
"brennen","stípat/pálit",
"das Brot, -e","chlieb",
"bücken (sich), (ich bücke mich, du bückst dich)","zohnút sa",
"das Büro, -S","kancelária",
"die Butter, O","maslo",
"die Couch, -s","gauc",
"das heißt","to znamená",
"dazu","k tomu",
"deshalb","preto",
"draußen","vonku",
"(um)drehen (sich)","otocit sa",
"der Durst, O","smäd",
"dürfen (ich darf, du darfst)","smiet",
"duschen (sich)","osprchovat' sa",
"eigentlich","vlastne",
"ein paar","niekolko",
"einfach","jednoducho",
"eingeschaltet","zapnuty",
"einige","niekolki",
"das Einkaufen, O","nakupovanie",
"erhöht","zvyseny",
"erholen (sich)","oddychnut' si",
"erinnern (sich) (an + akuzatív), ich erinnere mich an den Sommer","spomenút si (na), spomínam si na leto",
"erst","az",
"erzählen","rozprávat",
"essen (ich esse, du isst)","jest",
"fahren","íst (autom, vlakom, autobusom)",
"die Familie, -n","rodina",
"das Fenster, -","okno",
"der Fernseher, -","televizor",
"das Fernstudium, O","externé stúdium",
"finden","najst",
"fleckig","flakaty",
"die Frage, -n","otázka",
"frei","volny",
"das Freibad, Pl. Freibäder","kúpalisko",
"die Freundin, -nen","kamarátka",
"die Früh (in der Früh)","ráno (ráno)",
"früher","minulost",
"fühlen (sich), ich fühle mich gut","cítit (sa), cítim sa dobre",
"furchtbar","hrozne",
"gar nicht","vôbec nie",
"der Garten, Pl. Gärten","záhrada",
"der Gast, Pl. Gäste","host",
"das Gästebadezimmer,","hostovska kúpelña",
"das Gehen, O","chodenie",
"gelb","zlty",
"genug","dost",
"die Gemüsesuppe, -n","zeleninová polievka",
"das Gesicht, -er","tvár",
"gestern","vcera",
"das Gewicht, O","hmotnost",
"gießen","polievat",
"glauben","mysliet",
"grün","zeleny",
"hässlich","nepekny/otrasny",
"heben","zdvihnút",
"heilen","hojit sa",
"heiser","zachripnuty",
"hinzukommen (etwas kommt hinzu)","pridat sa (nieco sa pridá)",
"das Holz, O","drevo",
"hübsch","pekny",
"der Hunger, O","hlad",
"immer","vzdy",
"jetzt","teraz",
"der Job, -s","práca",
"jucken","svrbiet",
"der Jugendliche, -n","mladistvy",
"das Kindercamp,-S","detsky tábor",
"die Kirsche, -n","ceresna",
"die Klimaanlage,-n","klimatizacia",
"die Köchin, -nen","kucharka",
"kommen","príst",
"konnte (minuly cas od slovesa können)","mohol",
"die Kopfschmerzen (Pl.)","bolesti hlavy",
"krank","chory",
"kümmern (sich) um + akuzativ (Sie kümmert sich um den kranken Mann.)","starat sa o niekoho (Stará sa o chorého muza.)",
"legen (sich), wir legen uns ins Bett","lahnut si, lahneme si do postele",
"leiden unter","trpiet niecim",
"das Lernen, O","ucenie",
"lesen","citat",
"letzte Woche","minuly tyzden",
"das Lieblingscafé, -s","oblúbená kaviaren",
"die Lieblingsmehlspeise,-n","oblübeny mucnik",
"liegen","lezat",
"das Mädchen, O","dievca",
"der Mann, Pl. Männer","muz",
"der Maurer, O","murár",
"mehrmals","viackrat",
"merken (sich), (ich merke mir, ...)","zapamätat si",
"mit","s(so)",
"das Mittagessen,","obed",
"möglich","mozny",
"der Mohn, O","mak",
"nach oben","hore",
"das Nachthemd,-en","nocná kosela",
"das Nasenbluten, O","krvacanie z nosa",
"nämlich","totiz",
"nehmen","vziat",
"nett","mily",
"oben","hore",
"die Ohrenschmerzen (PL.)","bolesti usi",
"der Patient, -en","pacient",
"Pro Nacht","za noc",
"putzen","cistit",
"der Rauch, O","dym",
"das Rauchverbot, -e","zákaz fajcit",
"rausschmeißen jn./etw.","vyhodit niekoho/niedo",
"reden","rozprávat",
"regeln","riadit",
"richtig (richtige Arbeit)","poriadny (poriadna práca)",
"schmuggeln","prepasovat",
"seit längerer Zeit","dlhsi cas",
"seitdem","odvtedy",
"selbstständig","samostatne zárobkovo cinny",
"setzen (sich)","sadnút' si",
"schaffen","zvládnut",
"schämen (sich)","hanbit sa",
"schlafen","spat",
"schlagen (ich schlage; du schlägst;)","tlct",
"der Schlagobers, O","slahacka",
"schlecht","zly",
"schneiden","krajat/rezat",
"schnell","rychlo",
"schwer","fazky",
"Sie hatte viel zu tun.","Mala vela roboty.",
"der Spaß, O","zábava",
"spät","neskoro",
"spazieren gehen","íst na prechádzku",
"sprechen über + akuzativ (ich spreche, du sprichst)","hovorit o niecom/niekom",
"die Stelle, -n","miesto (pracovné)",
"stellen (sich)","postavit sa",
"stören","vadit",
"Und der Rauch von den Zigaretten hat dich nicht gestört?","A cigaretovy dym ti nevadil?",
"die Streife, -n","hliadka (policajná)",
"stresovy","stressig",
"der Stuhl, PI. Stühle","stolicka",
"die Stunde, -n","hodina",
"stur","tvrdohlavy",
"stützen","podopierat",
"täglich","denne",
"der Tee, Pl. Teesorten","caj",
"der Tisch, -e","stôl",
"treffen (sich) mit jemandem, (ich treffe mich mit.., du triffst dich mit.…;)","stretnut sa s niekym",
"das Trinkgeld, -er","prepitné",
"trotzdem","napriek tomu",
"übel (Mir ist übel.)","zle (Je mi zle.)",
"überall","vsade",
"die Überstunden (Pl.)","nadcasy",
"umziehen (sich), (ich ziehe mich um, du ziehst dich um)","prezliect sa",
"unangenehm","neprijemny",
"unklar","nejasny",
"unterhalten (sich) mit jemandem, (ich unterhalte mich mit..; du unterhältst dich mit..;)","s niekym bavit sa",
"die Vase, -n","váza",
"verbringen","strávit (napr. cas)",
"verfolgen","prenasledovat",
"vergessen","zabudnút",
"der Verkehr, O","premávka",
"verschieden","rozlicny",
"verschreiben","predpísat (napr. liek)",
"verwirrt","zmäteny",
"viel","vela",
"vielleicht","mozno",
"vor","pred",
"vor ein paar Wochen","pred pár tyzdnami",
"Was felt Ihnen?","Co Vam je?",
"Was ist los?","Co sa deje?",
"waschen (sich), (ich wasche mich, du wäschst dich)","umyt sa",
"das Wasser, O","voda",
"wegnehmen","vziat nieco (niekomu)",
"wechseln","vymienat",
"wieder","opät",
"wieso","ako to",
"wirklich","skutocne",
"die Woche, -n","tyzden",
"wollen (ich will, du willst)","chciet",
"wollten (ich wollte, du wolltest)","chcel som (minuly cas)",
"zubereiten (ich bereite zu, du bereitest zu)","pripravit",
