"Guten Morgen.       ","Good morning."
"Guten Tag.        ","“Good day.” → Hello (formal and informal)"
"Hallo!            ","Hello!"
"der Herr, -en   Herr Meier    ","Mister Meier"
"die Frau, -en   Frau Meier    ","Miss Meier"
"Guten Abend.          ","Good evening."
"Angenehm.         ","Nice to meet you (formal)"
"Vielen Dank.          ","Thank you a lot."
"Gute Nacht.         ","Good night."
"der Name, -n          ","name"
"Mein Name ist…        ","My name is..."
"Tschüs.         ","Bye"
"Auf Wiedersehen.        ","Good bye (formal)"
"Bis bald.         ","See you soon."
"und           ","and"
"Herzlich willkommen.        ","Welcome."
"der Wohnort, -e       ","place of residence"
"die Stadt, -ä-e         ","city"
"das Land, -ä-er       ","country"
"Deutschland         ","Germany"
"woher           ","where from"
"kommen          ","to come"
"Woher kommst du?        ","Where do you come from?"
"auch            ","too / as well"
"jetzt           ","now"
"sehr            ","very"
"heissen         ","to be called"
"Wie heisst du?      ","What are you called? (What’s your name?)"
"wie           ","how"
"sein, er/sie ist          ","to be, he/she is"
"wo            ","where"
"wohnen          ","to live"
"Wo wohnst du?       ","Where do you live?"
"in (+ Stadt/Land)       ","in (+ city/country)"
"aus (+ Stadt/Land)        ","from (+ city/country)"
"aber            ","but"
"mögen, er/sie mag       ","to like, he/she likes"
"wer           ","who"
"was             ","what"
"ja            ","yes"
"nein            ","no"
"lernen            ","to learn"
"Ich lerne Deutsch.        ","I learn German. / I’m learning German."
"studieren         ","to study"
"nicht           ","not "
"nichts            ","nothing"
"der Fussball          ","football, soccer"
"der Sport         ","sports"
"der Kaffee, -s          ","coffee"
"die Schokolade        ","chocolate"
"die Pizza, -s/ Pizzen       ","pizza"
"die Technik, -en        ","technology; engeneering; technique"
"die Kunst, -ü-e         ","art"
"die Mode, -n          ","fashion"
"Entschuldigung, …       ","Excuse me..."
"bitte           ","please"
"Buchstabieren Sie, bitte.     ","Spell, please. (formal)"
"schreiben         ","to write"
"Wie schreibt man das?     ","How is it written?"
"Moment, …         ","One moment, ..."
"der Familienname, -n        ","family name, surname"
"der Vorname, -n       ","first name"
"Wie geht’s (dir)?       ","How are you? (informal)"
"Es geht.          ","Okay."
"danke           ","thanks"
"ganz gut          ","quite good"
"endlich           ","finally"
"warm            ","warm"
"Wie geht es Ihnen?        ","How are you? (formal, sg./pl.)"
"gut           ","good"
"sehr gut          ","very good"
"heute             ","today"
"heiss           ","hot"
"super           ","super, awesome"
"der Lehrer, -         ","teacher m."
"die Lehrerin, -nen        ","“ f."
"der Verkäufer, -        ","salesperson m."
"die Verkäuferin, -nen       ","“ f."
"der Elektriker, -       ","electrician m."
"die Elektrikerin, -nen        ","“ f."
"der Ingenieur, -e       ","engineer m."
"die Ingenieurin, -nen       ","“ f."
"der Musiker, -          ","musician m."
"die Musikerin, -nen       ","“ f."
"der Arzt, Ä-e         ","doctor, physician"
"die Ärztin, -nen        ","“ f."
"der Busfahrer, -        ","busdriver m."
"die Busfahrerin, -nen       ","“ f."
"der Student, -en        ","student m."
"die Studentin, -nen       ","“ f."
"der Programmierer, -        ","programmer m."
"die Programmiererin, -nen     ","“ f."
"die Reinigungskraft, -ä-e     ","cleaner (job) m./f."
"die Schweiz         ","Switzerland"
"Das stimmt.         ","That’s correct."
"machen          ","to do"
"Was macht ihr?        ","What are you doing?"
"arbeiten          ","to work"
"neu             new ",""
"interessant         ","interesting"
"der Beruf, -e         ","job, profession"
"die Firma, Firmen       ","company"
"Was sind Sie von Beruf?     ","What’s your job?"
"als (+Beruf)          ","as (+profession)"
"Er arbeitet als Ingenieur.      ","He works as an engineer."
"bei (+Firma)          ","at (+ company)"
"Wir arbeiten bei DesigNetz.     ","We work at DesigNetz."
"richtig           ","right, correct"
"falsch            ","wrong"
"der Nachname, -n        ","surname/family name"
"die Adresse, -n       ","address"
"die E-Mail, -s          ","e-mail "
"die E-Mail-Adressen, -n     ","e-mail address"
"die Hausnummer, -n        ","house number"
"die Postleitzahl (PLZ), -en     ","postal code, zipcode"
"die Strasse, -n         ","street"
"die Telefonnummer, -n     ","phone number"
"die Nummer, -n        ","number"
"Hier, bitte.    ","Here you are. / There you go. (when sth. is given to you)"
"gern            ","like doing (Verb needed)"
"gross           ","big, tall"
"klein           ","small, short"
"das Hobby, -s         ","hobby"
"Österreich          ","Austria"
"der Bleistift, -e         ","pencil"
"das Buch, -ü-er       ","book"
"das Handy, -s         ","cellphone"
"das Heft, -e          ","notebook"
"der Kuli, -s / Kugelschreiber, -s   ","ballpen"
"die Lampe, -n         ","lamp"
"der Radiergummi, -s       ","eraser"
"die Tasche, -n          ","bag"
