Lektion 12
"die Gesundheit (sg.)                                              ","health"
"Das ist (nicht) gut für die Gesundheit!                   ","This is (not) good for health."
"dick                                                                        ","fat"
"ein bisschen                                                          ","a little"
"abnehmen, er/sie nimmt ab, er/sie hat abgenommen      ","lose weight"
"das Wetter (sg.)                                                    ","weather"
"die Kleidung (sg)                                                   ","clothing"
"vergessen, er/sie vergisst, er/sie hat vergessen  ","to forget"
"lachen                                                                    ","lough"
"gesund                                                                  ","healthy"
"der Alkohol (sg.)                                                   ","alcohol"
"rauchen                                                                 ","smoke"
"der Spaziergang, -ä-e                                           ","the walk"
"          einen Spaziergang machen                      ","to go for a walk "
"der Körper, -                                                         ","body"
"das Gesicht, -er                                                    ","face"
"das Auge, -n                                                          ","eye"
"die Nase, -n                                                          ","nose"
"der Mund, -ü-er                                                     ","mouth"
"der Kopf, -ö-e                                                        ","head"
"das Ohr, -en                                                          ","ear"
"der Hals, -ä-e                                                        ","neck; throat"
"die Schulter, -n                                                      ","shoulder"
"der Arm, -e                                                             ","arm"
"die Hand, -ä-e                                                        ","hand"
"der Rücken, -                                                         ","back"
"der Bauch, -äu-e                                                    ","stomack; belly"
"das Bein, -e                                                          ","leg"
"der Fuss, -ü-e                                                        ","foot"
"der Zahn, -ä-e   ","tooth"
"wahrscheinlich                                                      ","probably"
"die Bauchschmerzen (pl.)                                    ","belly ache; belly pain"
"der Unfall, -ä-e                                                      ","accident"
"wehtun, er/es/sie hat wehgetan                            ","to ache"
"          Der Kopf hat wehgetan.                            ","My head was aching."
"die Kopfschmerzen (pl.)                                       ","headache"
"das Fieber (sg.)                                                    ","fever"
"Ich habe Fieber / Bauchschmerzen.                     ","I have a fever / belly pain."
"erkältet sein                                                           ","to have a cold"
"die Zahnschmerzen (pl.)                                       ","toothache"
"Mein Zahn tut weh.                                                ","My tooth is aching."
"die Tablette, -n                                                      ","pill"
"das Medikament, -e                                              ","medecin"
"Gute Besserung!                                                   ","Get well!"
"der Hund, -e                                                          ","dog"
"fallen, er/sie fällt, er/sie ist gefallen                       ","to fall"
"anrufen, er/sie hat angerufen                               ","to call"
"sagen                                                                     ","to say"
"bekannt                                                                 ","wellknown"
"öffnen                                                                    ","to open"
"deshalb                                                                 ","therefore"
"da                                                                          ","there; because"
"der Kühlschrank, -ä-e                                           ","fridge"
"bei mir                                                                   ","at my place"
"kalt                                                                        ","cold"
"hoch                                                                      ","high"
"niedrig                                                                   ","low"
"hässlich                                                                  ","ugly"
"nah                                                                         ","near"
"der Stock, Stockwerke                                         ","floor "
Lektion 13
"das Fest, -e                                                            ","party"
"manch-                                                                  ","some-"
"verdienen                                                               ","earn"
"der Fotograf, -en                                                   ","photographer, m."
"die Fotografin, -nen                                              ","photographer, f."
"die Hochzeit, -en                                                   ","wedding"
"die Aufgabe, -n                                                     ","task"
"der Kunde, -n                                                         ","customer, m."
"die Kundin, -nen                                                    ","customer, f."
"freundlich                                                              ","kind"
"der Weihnachtsmann, -ä-er                                 ","Santa Claus"
"das Kostüm, -e                                                      ","costume"
"vorbereiten                                                             ","prepare"
"geben, er/sie gibt, er/sie hat gegeben                  ","to give"
"tragen (+Kleidung), er/sie trägt/hat getragen ","to wear"
"bekommen, er/sie hat bekommen                         ","to get"
"  Geschenke bekommen                                        ","to get presents"
"einmal                                                                  ","once"
"der Junge, -en                                                      ","boy"
"das Gespräch, -e                                                  ","conversation"
"das Weihnachten (sg.)                                         ","Christmas"
"schmücken                                                           ","decorate"
"Ringe tauschen","exchange rings"
"der Karneval / CH: die Fasnacht                           ","carnival"
"(der) Silvester (sg.)                                               ","new year’s eve"
"das Feuerwerk, -e                                                 ","firework"
"anstossen, er/sie stösst an, hat angestossen      ","to cling the glasses"
"das Oktoberfest, -e                                               ","Oktoberfest (annual festival in Munich)"
"Karussell fahren                                                    ","be (ride) on the carrousel"
"das Datum, Daten                                                ","the date"
"der Feiertag, -e                                                      ","holiday"
"die Einweihungsparty, -s                                      ","houswarming party"
"die Antwort, -en                                                    ","answer"
"bis zu (+ Tag/Uhrzeit)                                            ","until"
"Bitte gebt uns bis zum 4. Mai eine Antwort.         ","Please give us an answer until 5th of "
"            ","Mai."
"die Karte (Einladungskarte), -en                          ","card (invitation); also: map"
"zeigen                                                                    ","show"
"das Salz                                                                ","salt"
"das Glück                                                               ","luck"
"schenken                                                              ","give (as a present)"
"die Pflanze, -n                                                       ","plant"
"die Sache, -n                                                         ","thing; issue"
"das Mädchen, -                                                      ","girl"
"der Kuss, -ü-e                                                        ","kiss"
"einen Kuss geben                                                  ","to give a kiss = to kiss"
"die Unterschrift, -en                                               ","signature"
"die Anrede, -n                                                        ",""
"singen, er/sie hat gesungen                                 ","to sing"
"lang                                                                        ","long"
"  Die Strasse ist zwei Kilometer lang.    The street is two kilometers long.    ",""
"beginnen, er/sie hat begonnen   ","to begin"
"der Teilnehmer, -       ","participant, m."
"die Teilnehmerin, -nen      ","participant, f."
"der Besucher, -       ","visitor, m."
"die Besucherin, -nen        ","visitor, f."
"enden           ","to end"
"das Ende, -n          ","the end"
Lektion 14
"der Wind, -(e)          ","wind"
"die Wolke, -n         ","cloud"
"der Regen (sg.)       ","rain"
"der Schnee (sg.)        ","snow"
"die Sonne, -n         ","sun"
"  Die Sonne scheint.      ","The sun’s shining."
