Lektion 8
"der Morgen, -         ","the morning"
"am (+ Tageszeit)        ","in the (+ daytime)"
"  am Morgen       ","in the morning"
"morgens         ","(every) morning"
"der Vormittag, -e       ","morning (“before noon”)"
"der Mittag, -e          ","noon"
"der Nachmittag, -e        ","afternoon"
"der Abend, -e         ","evening"
"die Nacht, -ä-e       ","night"
"in der Nacht          ","at night"
"nachts            ","“"
"freihaben         ","to have … (Monday) off"
"Wie spät ist es?        ","What time is it? (“How late is it?”)"
"Es ist zehn Uhr.        ","It’s ten o’clock."
"nach/vor (+ Uhrzeit)        ","past/to (+time)"
"Es ist fünf nach sechs.     ","It’s five past six."
"halb / Viertel vor / Viertel nach (+ Uhrzeit) ","half (to!) / quarter to / quarter past (+ "
"time)     ",""
"aufstehen         ","to get up"
"ausschlafen, er/sie schläft aus   ","to sleep in"
"von (+ Uhrzeit) bis (+ Uhrzeit)   ","from… until..."
"der Termin, -e          ","appointment"
"einen Termin haben        ","to have an appointment"
"können, er/sie kann       ","to can"
"Ich kann für dich arbeiten.     ","I can work for you."
"ruhig           ","quiet"
"Pause machen        ","to have (“make”) a break"
"die Post (sg.)          ","mail"
"holen           ","to get (something)"
"morgen          ","tomorrow"
"abholen         ","to pick up somebody"
"der Deutschkurs, -e       ","German class"
"telefonieren          ","to be on the phone"
"Auf Wiederhören.        ","Goodbye (“hear you again”)"
"bis (+ Tag)         ","until"
"Bis Dienstag!         ","till Tuesday!"
"bringen         ","bring"
"der Monat, -e         ","month"
"im (+ Monat)          ","in (+ month)"
"  der Januar        ","January"
"  der Februar       ","February"
"  der März        ","March"
"  der April       ","April"
"  der Mai       ","May"
"  der Juni        ","June"
"der Juni        ","July"
"der August        ","August"
"der September     ","September"
"der Oktober       ","October"
"der November        ","November"
"der Dezember        ","December"
"der Besuch, -e          ","visit"
"Lust haben          ","to feel like"
"wenig           ","little"
"viel, -e            ","much, many"
"das Bett, -en         ","bed"
"ins Bett gehen          ","to go to bed"
"bleiben           ","to stay"
"Ich bleibe nicht lange.       ","I stay not for long."
"zwischen (+ Uhrzeit) und (+ Uhrzeit)    ","between (+time) and (+time)"
"früh            ","early"
"spät            ","late"
"bezahlen          ","pay"
"verkaufen         ","sell"
Lektion 9
"das Fahrrad, -ä-er / CH: das Velo, -s   ","bicycle"
"der Zug, -ü-e         ","train"
"die U-Bahn, -en       ","metro"
"die Strassenbahn, -en  / die Tram (CH: das Tram)","tram"
"der Bus, -se          ","bus"
"das Schiff, -e          ","ship"
"das Flugzeug, -e        ","airplane"
"fliegen           ","fly"
"zu Fuss         ","by foot"
"Er geht zu Fuss.        ","He goes by foot = he walks."
"mit (+ Verkehrsmittel)        ","by “with” (+ means of transport)"
"Ich fahre oft mit dem Bus.        I often go by bus.",""
"meistens          ","mostly"
"unterschreiben        ","to sign"
"nach Hause          ","at home"
"bei (+ Ort)         ","at (+ place)"
"aus (+ Ort)         ","from (+ place), from Zurich"
"von (+ Ort)         ","from (+ place), from Home"
"zu (+ Ort)          ","to (+ place), to university"
"die Universität         ","university"
"die Fahrt, -en          ","ride"
"dauern            ","to take (time)"
"Die Fahrt zur Uni dauert 20 Minuten.    ","the ride to the university takes 20 "
minutes.
"Ich brauche fünf Minuten zu Fuss zum Bäcker.","I need five minutes by foot to (get to) the "
baker.
"zusammen            together      ",""
"wohin           ","where to"
"seit wann         ","since when"
"seit            ","since"
"vor / nach (+ Zeitpunkt)      ","before / after (+ point in time)"
"Nach dem Kurs gehe ich ins Kino.    ","After the class I go to the cinema."
"der Urlaub, -e / CH: die Ferien (pl.)   ","holidays"
"packen            ","to pack"
"Er packt den Koffer.        ","He packs his suitcase."
"auspacken         ","to unpack"
"zu Mittag essen, er/sie isst zu Mittag    ","to have (“eat”) lunch"
"Wie komme ich zum /zur …?     ","How do I get to the …?"
"die Richtung, -en       ","direction"
"die Station, -en        ","stop (transportation)"
"  Du musst noch drei Stationen fahren.","You have to go three more stops."
"umsteigen         ","to change (the train)"
"einsteigen          ","to get on (a bus)"
"aussteigen          ","to get off"
"der Kilometer, -        ","kilometer"
"die Million, -en          ","million"
"der Radfahrer, -        ","cyclist, m."
"die Radfahrerin, -nen       ","“ f."
"der Durchschnitt, -e        ","average"
"  Man fährt im Durchschnitt 514 Kilometer.","In average we ride 514 kilometers."
"der Weg, -e         ","the way, path"
"jung            ","young"
"zum Beispiel          ","for example"
"das Mitglied, -er       ","member"
Lektion 10
"die Kopie, -n         ","copy"
"das Praktikum, Praktika     ","traineeship"
"","Er macht ein Praktikum bei DesigNetz. He’s “doing” a traineeship at DesigNetz."
"zusammenarbeiten        ","work together "
"neugierig         ","curious"
"kennenlernen          ","get to know"
"die Grafik, -en         ","the graphic"
"die Frage, -n         ","the question"
"antworten         ","to answer"
"allein            ","alone"
"einfach           ","easy"
"gar nicht         ","not at all"
"Das war gar nicht so einfach.     ","This wasn’t so easy at all."
"Die Arbeit hat Spass gemacht.   ","The work was fun."
"fertig            ","finished; done"
"Ich habe die Arbeit fertig gemacht. ","I’ve finished the work."
"organisieren          ","organize"
"präsentieren          ","present (have a presentation)"
"kopieren          ","copy"
"studieren         ","study"
"telefonieren          ","to be on the phone"
"gestern         ","yesterday"
"die Prüfung, -en        ","exam"
"die Reise, -n         ","the trip"
"krank           ","sick"
"die Konferenz, -en        ","conference"
zu spät kommen, er/sie ist zu spät gekommen to come too late
"die Verspätung, -en       ","delay"
"  Das Flugzeug hatte Verspätung.  ","the flight “had a delay” → the flight was "
delayed
"die Präsentation, -en       ","presentation"
"passieren, es ist passiert      ","to happen"
"der Fehler, -         ","mistake"
"voll            ","full"
"das Hotel, -s         ","hotel"
"  Das Hotel war voll.     ","The hotel was full (fully booked)."
"das Taxi, -s          ","cab; taxi"
"warum           ","why"
"Das macht (keinen) Spass!     ","This isn’t fun."
"sammeln         ","collect"
"der Redakteur, -e       ","editor, m."
"die Redakteurin, -nen       ","editor, f."
"das Internet (sg.)        ","internet"
"erfolgreich         ","successful"
"zurück            ","back"
"die Briefmarke, -n        ","stamp"
"die Post (Firma/Gebäude) (sg.)    ","post office"
"die Ampel, -n         ","signal (traffic)"
"die Haltestelle, -n       ","stop (e.g.: bus stop)"
"eilig           ","in a hurry"
"es eilig haben          ","to be in a hurry"
"der Stau, -s          ","traffic jam"
"im Stau stehen, er/sie hat im Stau gestanden","be stuck in a traffic jam"
"der Fussgänger, -                                                 ","pedestrian, m."
"die Fussgängerin, -nen                                        ","pedestrian, f."
"der Autofahrer, -                                                   ","car driver, m."
"die Autofahrerin, -nen                                            ","car driver, f."
Lektion 11
"das Sofa, -s                                                          ","couch"
"die Matratze, -n                                                    ","matress"
"anbieten, er/sie hat angeboten                              ","to offer"
"die WG / Wohngemeinschaft, -s/-en         ","people living in one apartment (not family)"
"das Zentrum, die Zentren                                      ","center"
"laut                                                                        ","loud"
"zu (+ Adjektiv)                                                       ","too (e.g. too loud)"
"Liebe/r (+ Name)                                                  ","dear + name"
"die Küche, -n                                                         ","kitchen"
"hart                                                                        ","hard"
"heute Abend                                                         ","this evening; tonight"
"warten                                                                    ","to wait"
"danach                                                                  ","afterwards"
"die Oma, -s                                                           ","grandma"
"besuchen                                                              ","to visit"
"weit                                                                        ","far"
"Liebe Grüsse                                                        ","informal: love; kind regards "
"das Wohnzimmer, -                                               ","living room"
"das Schlafzimmer, -                                             ","bedroom"
"das Kinderzimmer, -                                             ","child’s room / children’s room"
"das Arbeitszimmer, -                                            ","workroom"
"das Bad/Badezimmer, -ä-er/ -                              ","bathroom"
"der Flur, -e                                                            ","hallway"
"der Balkon, -e                                                        ","balcony"
"das Erdgeschoss, -e                                             ","ground floor"
"offen / auf sein                                                      ","to be open"
"geschlossen / zu sein                                           ","to be closed"
"hell                                                                        ","bright"
"dunkel                                                                    ","dark "
"die Ankunft, -ü-e                                                   ","arrival"
"früher                                                                    ","earlier"
"der Schlüssel, -                                                      ","key"
"liegen, er/sie hat gelegen                                      ","to lie (certain position)"
